Execution Year,Lot No.,Location,User,Premium,District Council,Execution Date
2002,Inland Lot No. 8837,44 Kennedy Road Wan Chai,Institution / Community,300000,CENTRAL & WESTERN,11 February 2002
2002,Ma Wan Lot 392,Ma Wan,Commercial / Residential,300000,TSUEN WAN,4 November 2002
2015,Rural Building Lot No. 730,6-16 Peel Rise The Peak,Residential R3,156500000,CENTRAL & WESTERN,15 July 2015
2015,Inland Lot No. 8171,42-44 Kotewall Road Mid-Levels,Residential R3,280190000,CENTRAL & WESTERN,16 April 2015
2014,Lot No. 648 in Demarcation District No. 2 Mui Wo,Mui Wo Lantau Island,Hotel,43050000,ISLANDS,13 November 2014
2009,Inland Lot No. 7551,92A 92B and 92C Pok Fu Lam Road Pok Fu Lam,Residential R2,14870000,CENTRAL & WESTERN,14 December 2009
2003,Inland Lot No. 2348,64-64A Mount Davis Road Pokfulam,Residential R2,4000000,CENTRAL & WESTERN,24 February 2003
2002,Sha Tin Town Lot No. 437,The Chinese University of Hong Kong,Institution / Community,3000000,SHA TIN,12 June 2002
2015,Sha Tin Town Lot No. 347,Junction of On Ping Street and On Lai Street Sha Tin,Hotel,6000000,SHA TIN,23 February 2015
2004,New Kowloon Inland Lot No. 6102,Fortune Garden 15 Wing Ting Road Ngau Chi Wan,Residential R1,135000,WONG TAI SIN,2 April 2004
2002,New Kowloon Inland Lot No. 5846,12 Kai Shun Road Kowloon Bay,Non Residential,21700000,KWUN TONG,9 December 2002
2001,New Kowloon Inland Lot No. 6228,22 Heng Lam Street Lok Fu,Institution / Community,5200000,WONG TAI SIN,1 March 2001
2010,Kwai Chung Town Lot No. 157,106-114 Kwok Shui Road Tsuen Wan,Residential R2,579600000,TSUEN WAN,20 May 2010
2023,Lot No. 4960 Remaining Portion in Demarcation District No. 51,15 Chi Fuk Circuit Fanling,Residential R3,41250000,NORTH,4 April 2023
2023,Lot No. 366 in Demarcation District No. 224,Sai Kung,Residential R4,69710000,SAI KUNG,4 April 2023
2023,New Kowloon Inland Lot No. 6610,Kai Tak Area 1E Site 1 Kai Tak,Residential<br/>(Public Rental Housing Units and Subsidized Sale Flat Units),21420000,KOWLOON CITY,28 February 2023
2023,Shau Kei Wan Inland Lot No. 827,5 A Kung Ngam Village Road Shau Kei Wan,Godown,8250000,EASTERN,14 February 2023
2009,Inland Lot No. 2302 Section B Subsection 1 and the Extension thereto,6 Shiu Fai Terrace Wan Chai,Residential R3,213060000,WAN CHAI,13 November 2009
2007,Kowloon Inland Lot No. 6453 Section A Subsection 1 Kowloon Inland Lot No. 6453 Section A Remaining Portion Kowloon Inland Lot No. 6453 Section O Subsection 1 Kowloon Inland Lot No. 6453 Section P and Kowloon Inland Lot No. 6453 Section Q Remaining Portion,8A Hart Avenue Tsim Sha Tsui,Hotel,139150000,YAU TSIM MONG,14 August 2007
2007,Tsuen Wan Town Lot No. 394,Yeung Uk Road Tsuen Wan,Residential R1,5780000,TSUEN WAN,12 January 2007
2007,New Kowloon Inland Lot No. 5835,Unit 1B G/F Fook Hong Industrial Building 19 Sheung Yuet Road Kowloon Bay,Non Residential,6290000,KWUN TONG,3 January 2007
2006,New Kowloon Inland Lot No. 6409,Cornwall Street Kowloon Tong,Petrol Filling Station,225000,SHAM SHUI PO,15 December 2006
2009,Kowloon Inland Lot No. 11161,Salisbury Road Tsim Sha Tsui,Commercial,94530000,YAU TSIM MONG,10 March 2009
2009,Lot No. 4658 in Demarcation District No. 104,Pok Wai San Tin Yuen Long,Other Uses,7340000,YUEN LONG,13 February 2009
2009,New Kowloon Inland Lot No. 5271,2 Beacon Hill Road Kowloon Tong,Residential R3,1,KOWLOON CITY,22 January 2009
2012,Inland Lot No. 8551,183 Queen's Road East Wan Chai,Commercial,1680000,WAN CHAI,24 October 2012
2012,Tseung Kwan O Town Lot No. 70 Section A and Remaining Portion,1 Lohas Park Road Tseung Kwan O,Commercial / Residential,840000,SAI KUNG,11 September 2012
2008,Tuen Mun Town Lot No. 334,3 Tsing Yung Street Tuen Mun,Residential R2,3916170,TUEN MUN,7 November 2008
2012,Lot No. 501 and the Extension thereto in Demarcation District No. 238,33 Hang Hau Wing Lung Road Sai Kung,Residential R4,7760000,SAI KUNG,2 August 2012
2012,Rural Building Lot No. 1115,34 Island Road Deep Water Bay,Residential R3,60370000,SOUTHERN,27 June 2012
2012,New Kowloon Inland Lot No. 6056,128 Carpenter Road Kowloon City,Commercial / Multi- Storey Car Park,86780000,KOWLOON CITY,14 May 2012
2008,Kwun Tong Inland Lot No. 235,94 & 96 How Ming Street Kwun Tong,Non Residential,16130000,KWUN TONG,27 October 2008
2008,Kowloon Inland Lot No. 11188,Hanoi Road Mody Road Bristol Avenue and Carnarvon Road Tsim Sha Tsui,Commercial / Residential,298730000,YAU TSIM MONG,27 October 2008
2008,Shaukiwan Inland Lot No. 778,3 A Kung Ngam Village Road Shau Kei Wan,Industrial,37000000,EASTERN,24 October 2008
2008,Lot No. 2210 in Demarcation District No. 106,83 Ng Ka Tsuen Kam Tin Yuen Long,Institution / Community,550000,YUEN LONG,10 October 2008
2008,New Kowloon Inland Lot No. 5831,Workshop 2 G/F (including a yard) Kenning Industrial Building 19 Wang Hoi Road Kowloon Bay,Non Residential,15710000,KWUN TONG,8 October 2008
2008,Kwun Tong Inland Lot No. 242 Section A and Kwun Tong Inland Lot No. 242 Remaining Portion,102 How Ming Street Kwun Tong,Commercial,147000000,KWUN TONG,3 October 2008
2012,Tai Po Town Lot No. 201,Pak Shek Kok Development Area Site D2 Tai Po,Residential R3,7600000,TAI PO,10 April 2012
2012,Tai Po Town Lot No. 200,Pak Shek Kok Development Area Site D1 Tai Po,Residential R3,7600000,TAI PO,10 April 2012
2012,New Kowloon Inland Lot No. 6023,Kindergarten and Roof of Kindergarten Tsui Chuk Garden 8 Chui Chuk Street Wong Tai Sin,Private Sector Participation Scheme,3160000,WONG TAI SIN,13 March 2012
2008,Kowloon Inland Lot No. 9844,18-24 Salisbury Road Tsim Sha Tsui,Commercial,925540000,YAU TSIM MONG,18 April 2008
2008,Rural Building Lot No. 240 Section A,6 Stanley Beach Road Stanley,Residential R3,76810000,SOUTHERN,17 April 2008
2010,Rural Building Lot No. 213 and the Extension thereto,31 Lugard Road The Peak,Residential R3,26610000,CENTRAL & WESTERN,6 October 2010
2010,Rural Building Lot No. 811,44-50 Chung Hom Kok Road Chung Hom Kok,Residential R3,134250000,SOUTHERN,3 September 2010
2010,Rural Building Lot No. 836,77 Peak Road The Peak,Residential R3,282790000,CENTRAL & WESTERN,27 August 2010
2010,Rural Building Lot No. 723,15 Gough Hill Road The Peak,Residential R3,55550000,CENTRAL & WESTERN,24 August 2010
2010,Lot No. 315 in Demarcation District No. 224,1 Silverstrand Beach Road Sai Kung,Residential R3,14860000,SAI KUNG,4 August 2010
2008,Lot No. 2242 in Demarcation District No. 95 and the Extension thereto,Kwu Tung Road Sheung Shui,Residential R4,132010000,NORTH,7 April 2008
2012,Shaukiwan Inland Lot No. 761,1-9 and 2-10 Sai Wan Terrace Sai Wan Ho,Residential R1,249000000,EASTERN,13 February 2012
2012,Lot No. 526 and the Extension thereto in Demarcation District No. 210,Marina Cove Ho Chung Sai Kung,Commercial / Residential,760000,SAI KUNG,10 January 2012
2008,Rural Building Lot No. 590,37 Severn Road The Peak,Residential R3,550000,CENTRAL & WESTERN,23 September 2008
2008,Rural Building Lot No. 589,40 Plantation Road The Peak,Residential R3,550000,CENTRAL & WESTERN,23 September 2008
2008,Rural Building Lot No. 548,78 Mount Kellett Road The Peak,Residential R3,550000,CENTRAL & WESTERN,17 September 2008
2008,Inland Lot No. 7781 Remaining Portion,196-206 Queen's Road East Wan Chai,Virtually Unrestricted,480000,WAN CHAI,1 April 2008
2008,Rural Building Lot No. 833,5-11 South Bay Close Repulse Bay,Residential R3,470000,SOUTHERN,25 March 2008
2008,Rural Building Lot No. 820,13-19 South Bay Close Repulse Bay,Residential R3,470000,SOUTHERN,25 March 2008
2008,Tseung Kwan O Town Lot No. 70,Area 86 Tseung Kwan O,Commercial / Residential,10000000,SAI KUNG,19 March 2008
2008,Chai Wan Inland Lot No. 13,24 Lee Chung Street Chai Wan,Non Residential,43760000,EASTERN,13 March 2008
2010,Tuen Mun Town Lot No. 334,3 Tsing Yung Street Tuen Mun,Residential R2,451428,TUEN MUN,13 July 2010
2010,Tuen Mun Town Lot No. 334,3 Tsing Yung Street Tuen Mun,Residential R2,21620,TUEN MUN,25 June 2010
2010,Kwai Chung Town Lot No. 329,2-6 Wing Lap Street Kwai Chung,Industrial / Godown,19380000,KWAI TSING,24 June 2010
2010,Kwun Tong Inland Lot No. 697,24 Hing Yip Street and 55 King Yip Street Kwun Tong,Non Residential,260900000,KWUN TONG,21 June 2010
2010,Kowloon Inland Lot No. 8310,Chun Seen Mei Chuen 5-55 Fu Ning Street To Kwa Wan,Residential R1,500000,KOWLOON CITY,15 June 2010
2010,Tuen Mun Town Lot No. 405,Glorious Garden 45 Lung Mun Road Tuen Mun,Private Sector Participation Scheme,4490000,TUEN MUN,11 June 2010
2010,Yuen Long Town Lot No. 478,85 Tai Tong Road Yuen Long,Other Uses,500000,YUEN LONG,1 June 2010
2010,Aberdeen Inland Lot No. 451,Welfare Road Aberdeen,Residential R1,35860000,SOUTHERN,28 May 2010
2008,Kowloon Inland Lot No. 11168,Hoi Ting Road Tai Kok Tsui,Residential R1,2820000,YAU TSIM MONG,5 September 2008
2008,Kowloon Inland Lot No. 11167,J/O Hoi Wang Road and Hoi Ting Road Tai Kok Tsui,Residential R1,2820000,YAU TSIM MONG,5 September 2008
2008,Tsing Yi Town Lot No. 122,32 Tsing King Road Tsing Yi,Institution / Community,1120000,KWAI TSING,4 September 2008
2011,Kowloon Inland Lot No. 9673,18 Chi Kiang Street To Kwa Wan,Residential R1,199390000,KOWLOON CITY,9 November 2011
2008,Inland Lot No. 647 Section A,1 Old Peak Road The Peak,Institution / Community,470000,CENTRAL & WESTERN,18 February 2008
2008,New Kowloon Inland Lot No. 4795,712 Prince Edward Road 112 King Fuk Street San Po Kong,Non Residential,3640000,WONG TAI SIN,12 February 2008
2008,Kowloon Inland Lot No. 11124,Sheung Shing Street Ho Man Tin,Commercial / Residential,21170000,KOWLOON CITY,4 February 2008
2008,Kwun Tong Inland Lot No. 190,Shop E G/F Cheoy Lee Building 1-7 Yee On Street 4-10 Hang On Street Kwun Tong,Commercial / Residential,250000,KWUN TONG,31 January 2008
2008,Rural Building Lot No. 345 Remaining Portion,9 Shouson Hill Road Shouson Hill,Residential R3,16920000,SOUTHERN,28 January 2008
2010,Lot No. 3853 in Demarcation District No. 91,30 Lung Sum Avenue Sheung Shui,Institution / Community,45920000,NORTH,7 May 2010
2011,Kowloon Inland Lot No. 3359,123 Argyle Street Mong Kok,Institution / Community,2300000,KOWLOON CITY,9 September 2011
2008,Kwun Tong Inland Lot No. 39 Remaining Portion,Workshop on Ground Floor Fook Cheong Building 63 Hoi Yuen Road Kwun Tong,Non Residential,40210000,KWUN TONG,14 August 2008
2008,Rural Building Lot No. 756,79 Deep Water Bay Road Deep Water Bay,Residential R3,54130000,SOUTHERN,5 August 2008
2008,Kwun Tong Inland Lot No. 494,Portions of the Cinema Kwun Tong Theatre Building Block A 9 Tung Ming Street Kwun Tong,Institution / Community,470000,KWUN TONG,23 July 2008
2011,Inland Lot No. 7735,335-339 Tai Hang Road Happy Valley,Residential R3,115200000,WAN CHAI,30 August 2011
2011,Inland Lot No. 8736,3 Connaught Road Central Central,Commercial,2700000,CENTRAL & WESTERN,12 August 2011
2010,New Kowloon Inland Lot No. 5482,314 Kwun Tong Road Ngau Tau Kok,Other Uses,500000,KWUN TONG,28 April 2010
2010,Aberdeen Inland Lot No. 309,1 Yip Fat Street Wong Chuk Hang,Commercial,57650000,SOUTHERN,28 April 2010
2010,Lot No. 2099 in Demarcation District No. 109,Ha Ko Po Tsuen Kam Tin Yuen Long,Commercial / Residential,4930000,YUEN LONG,26 April 2010
2010,Kwun Tong Inland Lot No. 646,82 Hung To Road Kwun Tong,Industrial / Godown,230000,KWUN TONG,26 April 2010
2010,Lot No. 339 and the Extension thereto in Demarcation District No. 224,1 Silver Terrace Road Sai Kung,Residential R4,500000,SAI KUNG,15 April 2010
2010,Kwun Tong Inland Lot No. 162,84 Hung To Road Kwun Tong,Hotel,110000000,KWUN TONG,15 April 2010
2010,Rural Building Lot No. 732,7 Mount Kellett Road The Peak,Residential R3,2690000,CENTRAL & WESTERN,17 March 2010
2008,Fanling Sheung Shui Town Lot No. 163,23 Yip Cheong Street Fanling,Industrial / Godown,470000,NORTH,24 January 2008
2008,Inland Lot No. 7903 and the Extension thereto,13-15 Tai Hang Road Tai Hang,Residential R2,1200000,WAN CHAI,7 January 2008
2011,New Kowloon Inland Lot No. 6180,52 Fung Tak Road Diamond Hill,Institution / Community,17840000,WONG TAI SIN,26 July 2011
2011,New Kowloon Inland Lot No. 2724 Section D Subsection 1 and New Kowloon Inland Lot No. 2724 Section D Remaining Portion,Unit A and Unit B on G/F Cambridge Heights 20 and 22 Fuk Lo Tsun Road Kowloon City,Residential R1,49480000,KOWLOON CITY,13 July 2011
2011,New Kowloon Inland Lot No. 2724 Section C and New Kowloon Inland Lot No. 2724 Remaining Portion,Unit A and Unit B on G/F and Unit A and Unit B on 1/F Oxford Heights 12 Fuk Lo Tsun Road Kowloon City,Residential R1,61890000,KOWLOON CITY,13 July 2011
2011,Tuen Mun Town Lot No. 462,Yeung Tsing Road Tsing Shan Tsuen Tuen Mun,Institution / Community,760000,TUEN MUN,4 July 2011
2011,Rural Building Lot No. 1139,2 Cape Drive Chung Hom Kok,Residential R3,26540000,SOUTHERN,20 June 2011
2011,Kowloon Inland Lot No. 11090,18 Hoi Ting Road Olympian City Two Tai Kok Tsui,Commercial / Residential,760000,YAU TSIM MONG,16 June 2011
2011,Lot No. 2140 in Demarcation District No. 83,Lung Yeuk Tau Fanling,Institution / Community,260000,NORTH,13 June 2011
2011,Rural Building Lot No. 880,27 Tung Tau Wan Road Stanley,Residential R3,1620000,SOUTHERN,10 June 2011
2011,New Kowloon Inland Lot No. 5720,10 Cheung Yue Street Cheung Sha Wan,Non Residential,281840000,SHAM SHUI PO,9 June 2011
2008,Aberdeen Inland Lot No. 283,55-57 Wong Chuk Hang Road Wong Chuk Hang,Commercial,550000,SOUTHERN,9 July 2008
2008,New Kowloon Inland Lot No. 6206,1 & 1A Oxford Road and 3-9 Lancashire Road Kowloon Tong,Residential R2,11280000,KOWLOON CITY,24 June 2008
2007,Rural Building Lot No. 857 Remaining Portion,10B Shouson Hill Road Shouson Hill,Residential R3,172260000,SOUTHERN,20 December 2007
2007,Fanling Sheung Shui Town Lot No.76,Fan Leng Lau Fanling,Residential R3,470000,NORTH,14 December 2007
2010,Tuen Mun Town Lot No. 208,116 Castle Peak Road-Castle Peak Bay Tuen Mun,Residential R3,671915,TUEN MUN,11 March 2010
2010,Rural Building Lot No. 368 Section F Remaining Portion,55 Beach Road Repulse Bay,Residential R3,22670000,SOUTHERN,5 March 2010
2010,New Kowloon Inland Lot No. 6206,1 Oxford Road Kowloon Tong,Residential R2,1860000,KOWLOON CITY,3 March 2010
2010,New Kowloon Inland Lot No. 5729 and the Extension thereto,Shun Lee Tsuen Electricity Substation 11 Shun Ching Street Kwun Tong,Other Uses,790000,KWUN TONG,23 February 2010
2010,Rural Building Lot No. 1100,1 3 and 5 Gough Hill Road The Peak,Residential R3,39410000,CENTRAL & WESTERN,25 January 2010
2010,Inland Lot No. 9010,Connaught Road Central Central,Other Uses,876000,CENTRAL & WESTERN,13 January 2010
2010,Kowloon Inland Lot No. 10562,12 Chatham Court Tsim Sha Tsui,Commercial,500000,YAU TSIM MONG,12 January 2010
2010,Chai Wan Inland Lot No. 13,24 Lee Chung Street Chai Wan,Non Residential,500000,EASTERN,8 January 2010
2009,Aberdeen Inland Lot No. 283,55-57 Wong Chuk Hang Road Wong Chuk Hang,Commercial,1260000,SOUTHERN,29 December 2009
2007,Aberdeen Inland Lot No. 298,50 Wong Chuk Hang Road Aberdeen,Non Residential,35190000,SOUTHERN,7 December 2007
2008,Kwai Chung Town Lot No. 215,51-53 Kwai Cheong Road and 12-120 Tai Lin Pai Road Kwai Chung,Non Residential,680000000,KWAI TSING,17 June 2008
2008,Inland Lot No. 8498,Wing On Lodge 72-82 Blue Pool Road Happy Valley,Residential R2,250000,WAN CHAI,10 June 2008
2011,Lot No. 306 in Demarcation District No. 224,828 Clear Water Bay Road Hang Hau Sai Kung,Residential R3,6410000,SAI KUNG,12 April 2011
2011,Lot No. 2521 in Demarcation District No. 92,St. Paul's House of Prayer Kam Tsin Road Kwu Tung Sheung Shui,Institution / Community,19370000,NORTH,11 April 2011
2007,Kwai Chung Town Lot No. 394,Lei Muk Shue Kwai Chung,Other Uses,130000,TSUEN WAN,14 November 2007
2007,Kowloon Inland Lot No. 3277 Section C Kowloon Inland Lot No. 3277 Section D Kowloon Inland Lot No. 3277 Section E and Kowloon Inland Lot No. 3277 Section F,170C 170D 170E & 170F Boundary Street,Residential R2,140390000,KOWLOON CITY,13 November 2007
2007,Kowloon Inland Lot No. 11076,8 Oi King Street Hung Hom,Commercial / Residential,36990000,KOWLOON CITY,13 November 2007
2007,Tsuen Wan Town Lot No. 352,Yau Kom Tau Tsuen Wan,Residential R3,1300000,TSUEN WAN,9 November 2007
2009,Tsing Yi Town Lot No. 128,35-47 Tsing Yi Road Tsing Yi,Godown,38260000,KWAI TSING,8 December 2009
2009,Inland Lot No. 8862,Central Reclamation,Other Uses,490000,CENTRAL & WESTERN,4 December 2009
2011,Lot No. 1503 in Demarcation District No. 243,20 Pik Sha Road Sai Kung,Residential R3,7710000,SAI KUNG,8 April 2011
2011,Kowloon Inland Lot No. 2340 Remaining Portion,211 211A 211B 211C 213 213A 215 215A 215B and 215C Prince Edward Road West Mong Kok,Residential R2,457700000,KOWLOON CITY,6 April 2011
2011,Yuen Long Town Lot No. 360,5 Fuk Shun Street Yuen Long,Other Uses,110000,YUEN LONG,29 March 2011
2011,New Kowloon Inland Lot No. 3851 Section E,48A La Salle Road Kowloon Tong,Residential R2,7560000,KOWLOON CITY,25 February 2011
2011,New Kowloon Inland Lot No. 3851 Remaining Portion,48 La Salle Road Kowloon Tong,Residential R2,7240000,KOWLOON CITY,25 February 2011
2011,Aberdeen Inland Lot No. 282,23 Wong Chuk Hang Road Aberdeen,Commercial,58650000,SOUTHERN,25 February 2011
2008,Lot No. 1503 in Demarcation District No. 243,Pik Sha Road Silverstrand Sai Kung,Residential R3,1029200,SAI KUNG,28 May 2008
2012,Aberdeen Inland Lot No. 453,19 and 21 Wong Chuk Hang Road Aberdeen,Commercial,7460000,SOUTHERN,15 March 2012
2011,Kwun Tong Inland Lot No. 173,181 Hoi Bun Road Kwun Tong,Non Residential,1530000,KWUN TONG,12 December 2011
2011,Kwun Tong Inland Lot No. 526,135-137 Hoi Bun Road Kwun Tong,Non Residential,386500000,KWUN TONG,26 September 2011
2011,New Kowloon Inland Lot No. 1892 Section C and New Kowloon Inland Lot No. 1892 Remaining Portion,Portion of G/F Garment Centre 576-586 Castle Peak Road Cheung Sha Wan,Non Residential,17550000,SHAM SHUI PO,9 February 2011
2010,Inland Lot No. 8021 and the Extension thereto,17 Magazine Gap Road Mid-Levels,Residential R3,12020000,CENTRAL & WESTERN,23 December 2010
2010,Rural Building Lot No. 767 Remaining Portion,36 Repulse Bay Road Repulse Bay,Residential R3,2620000,SOUTHERN,29 November 2010
2008,Kwun Tong Inland Lot No. 744 Section A and Kwun Tong Inland Lot No. 744 Remaining Portion,223-231 Wai Yip Street and 39 King Yip Street Kwun Tong,Commercial,2000000,KWUN TONG,6 May 2008
2008,Kowloon Inland Lot No. 6072,44 Kowloon City Road Kowloon City,Virtually Unrestricted,470000,KOWLOON CITY,1 August 2008
2011,Kwun Tong Inland Lot No. 713,123 Hoi Bun Road Kwun Tong,Commercial,502790000,KWUN TONG,29 August 2011
2011,New Kowloon Inland Lot No. 5103,33 Tseuk Luk Street San Po Kong,Non Residential,156040000,WONG TAI SIN,5 July 2011
2011,Ap Lei Chau Inland Lot No. 109,95 Main Street Ap Lei Chau Ap Lei Chau,Commercial / Residential,315000,SOUTHERN,23 June 2011
2002,Kowloon Inland Lot No. 2411 and the Extension thereto,1 Ho Man Tin Hill Road Ho Man Tin,Residential R2,25800000,KOWLOON CITY,21 October 2002
2006,Inland Lot No. 7208 Remaining Portion and the Extension thereto,53 Mount Davis Road Pokfulam,Residential R3,3400000,SOUTHERN,28 August 2006
2006,New Kowloon Inland Lot No. 4761,111 King Lam Street Cheung Sha Wan,Non Residential,71590000,SHAM SHUI PO,14 August 2006
2006,Rural Building Lot No. 601 and the Extension thereto,80 Deep Water Bay Road Deep Water Bay,Residential R3,132620000,SOUTHERN,11 July 2006
2006,Rural Building Lot No. 310 and the Extension thereto,60 Peak Road The Peak,Residential R4,1000000,CENTRAL & WESTERN,11 July 2006
2002,Lot No. 645 in Demarcation District No. 2 Mui Wo,59 Wang Tong Mui Wo,Village Type Development,260000,ISLANDS,24 July 2002
2006,Kwun Tong Inland Lot No. 433,38 Chong Yip Street Kwun Tong,Non Residential,172100000,KWUN TONG,25 May 2006
2002,Lot No. 1627 in Demarcation District No. 77,Wen Chuen Sin Kwoon Ping Che,Institution / Community,560000,NORTH,4 June 2002
2006,Kwun Tong Inland Lot No. 692,79 Hoi Yuen Road Kwun Tong,Commercial,274070000,KWUN TONG,10 April 2006
2006,New Kowloon Inland Lot No. 317 Section C Subsection 1 Section A Subsection 1 and others,128 Tai Po Road Sham Shui Po,Commercial,13350000,SHAM SHUI PO,11 March 2006
2005,Kowloon Inland Lot No. 10535,18 Tak Hing Street Jordan,Commercial / Residential,30240000,YAU TSIM MONG,9 August 2005
2005,Lot No. 1169 Section B Remaining Portion in Demarcation District No. 6,Kwong Fuk Road Substation Tai Po,Industrial,10000,TAI PO,25 July 2005
2002,Kwun Tong Inland Lot No. 625 and Kwun Tong Inland Lot No. 626,Shop 1 & 2 on G/F  A1 & A2 on M/F Fu Shing House 10-24 Fu Yan Street Kwun Tong,Residential R1,3930000,KWUN TONG,21 March 2002
2005,Tsing Yi Town Lot No. 139,99 Cheung Fai Road Tsing Yi,Other Uses,58290000,KWAI TSING,1 April 2005
2005,Kwun Tong Inland Lot No. 502,392 Kwun Tong Road Kwun Tong,Commercial,147960000,KWUN TONG,7 March 2005
2002,Lot No. 3070 in Demarcation District No. 316,Pui O Lantau Island,Village Type Development,453,ISLANDS,21 February 2002
2004,Marine Lot No. 275 Marine Lot No. 278 Section A and Marine Lot No. 278 Remaining Portion,AIG Tower 1 Connaught Road Central Central,Commercial,1210000,CENTRAL & WESTERN,31 March 2004
2004,Inland Lot No. 1578 Section A Subsection 2 Inland Lot No. 1578 Section A Remaining Portion,379-381 Queen's Road East Wan Chai,Commercial,242000,WAN CHAI,30 January 2004
2008,Kwun Tong Inland Lot No. 482,49 King Yip Street Kwun Tong,Non Residential,47310000,KWUN TONG,8 April 2008
2008,New Kowloon Inland Lot No. 3516 Section B Subsection 1 and New Kowloon Inland Lot No. 3516 Section B Subsection 2,Unit 5 G/F Kowloon Plaza 485 Castle Peak Road Cheung Sha Wan,Non Residential,4470000,SHAM SHUI PO,2 April 2008
2008,Kowloon Inland Lot No. 2097 Section G Subsection 1 Section A and Kowloon Inland Lot No. 2097 Section G Subsection 1 Remaining Portion,148-148A Boundary Street Kowloon Tong,Residential R2,42420000,KOWLOON CITY,5 March 2008
2001,Kowloon Inland Lot No. 11108,1 Peking Road Tsim Sha Tsui,Commercial,25790000,YAU TSIM MONG,16 May 2001
2001,Lot No. 535 in Demarcation District No. DD 210,Pak Sha Wan Sai Kung,Commercial,5020000,SAI KUNG,7 March 2001
2003,Lot No. 536 in Demarcation District No. 10 Lamma,G/F. 25 Sok Kwu Wan First Street Lamma Island,Village Type Development,250000,ISLANDS,22 May 2003
2009,Kwai Chung Town Lot No. 270,1 Yiu Wing Street Kwai Chung,Other Uses,363000,KWAI TSING,12 August 2009
2009,Junk Bay Town Lot No. 7,Area 11 Junk Bay Sai Kung,Other Uses,500000,SAI KUNG,30 July 2009
2009,New Kowloon Inland Lot No. 3548 Section VVV,14 & 16 Cambridge Road Kowloon Tong,Residential R3,1100000,KOWLOON CITY,2 July 2009
2010,Aberdeen Inland Lot No. 354,41 Heung Yip Road Wong Chuk Hang,Non Residential,133860000,SOUTHERN,10 June 2010
2008,New Kowloon Inland Lot No. 5925,1 Wang Kwong Road Kowloon Bay,Non Residential,1003060000,KWUN TONG,25 January 2008
2010,Kwun Tong Inland Lot No. 173,181 Hoi Bun Road Kwun Tong,Non Residential,270380000,KWUN TONG,19 May 2010
2010,Aberdeen Inland Lot No. 350,34 Wong Chuk Hang Road Wong Chuk Hang,Commercial,71660000,SOUTHERN,7 May 2010
2010,Aberdeen Inland Lot No. 374,2 Heung Yip Road Wong Chuk Hang,Commercial,306720000,SOUTHERN,26 April 2010
2009,Inland Lot No. 6875 and the Extension thereto,10 Bowen Road Mid-Levels West,Residential R2,8900000,CENTRAL & WESTERN,17 June 2009
2007,Rural Building Lot No. 966,20 Repulse Bay Road Repluse Bay,Residential R3,52660000,SOUTHERN,18 May 2007
2007,Kowloon Inland Lot No. 4022 Remaining Portion,157 Argyle Street Kowloon City,Residential R2,414250000,KOWLOON CITY,7 May 2007
2007,Tsing Lung Tau Lot No. 67,Tsing Lung Tau Tsuen Wan,Residential R3,3000000,TSUEN WAN,4 May 2007
2007,Lot No. 602 in Demarcation District No. 215,Po Lo Che Sai Kung,Other Uses,450000,SAI KUNG,2 May 2007
2007,Ap Lei Chau Inland Lot No. 122,2 Lee Wing Street Ap Lei Chau,Non Residential,169520000,SOUTHERN,19 April 2007
2007,Lot No. 299 Remaining Portion in Demarcation District No. 444,Unit G01 on G/F Tower A Regent Centre No. 63 Wo Yi Hop Road Kwai Chung,Non Residential,2180000,KWAI TSING,21 March 2007
2010,Lot No. 1502 in Demarcation District No. 243,18 Pik Sha Road Sai Kung,Residential R3,15240000,SAI KUNG,9 February 2010
2010,Kowloon Inland Lot No. 3303 Section A,146 Argyle Street Ho Man Tin,Residential R2,161770000,KOWLOON CITY,14 January 2010
2009,Kowloon Inland Lot No. 8050,35-43 Ivy Street Tai Kok Tsui,Hotel,84940000,YAU TSIM MONG,24 December 2009
2007,Tsing Yi Town Lot No. 128,Tsing Yi Road Tsing Yi,Industrial / Godown,39230000,KWAI TSING,5 March 2007
2007,Inland Lot No. 8028,7B & 7C Tung Shan Terrace Happy Valley,Residential R2,225000,WAN CHAI,5 March 2007
2007,Ap Lei Chau Inland Lot No. 129,Ap Lei Chau Praya Road Ap Lei Chau,Residential R1,40970000,SOUTHERN,27 February 2007
2007,Fanling Sheung Shui Town Lot No. 170,On Lok Tsuen Fanling,Industrial Office,600000,NORTH,24 January 2007
2007,Hung Hom Inland Lot No. 550,123 Bulkeley Street Hung Hom,Hotel,11430000,KOWLOON CITY,17 January 2007
2002,Hung Hom Marine Lot No. 6 Section A  Hung Hom Marine Lot No. 6 Section B and the Extension thereto Hung Hom Marine Lot No. 6 Remaining Portion and the Extension thereto,Wan Hoi Street Hung Hom,Commercial,15000000,KOWLOON CITY,2 July 2002
2002,Kwun Tong Inland Lot No. 444,13A Chong Yip Street Kwun Tong,Commercial,5000000,KWUN TONG,28 June 2002
2002,Tuen Mun Town Lot No. 374,So Kwun Wat Tuen Mun,Commercial / Residential,75000000,TUEN MUN,24 June 2002
2002,New Kowloon Inland Lot No. 6056,Kowloon City Plaza 128 Carpenter Road Kowloon City,Commercial / Multi- Storey Car Park,150000,KOWLOON CITY,21 June 2002
